Kelas,teks_stemming
Diklat 3 in 1,"['diklat', 'buat', 'aset', 'animasi', 'dimensi', 'angkat', 'vi', 'on', 'site', 'nusaedu', 'digital', 'creative', 'school', 'cimahi', 'sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'nusaedu', 'digital', 'creative', 'school', 'cimahi', 'jawa', 'barat',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'delapan', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'maret', 'april', 'tempat', 'cimahi', 'technopark', 'jawa', 'barat', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Teaching Factory,"['webinar', 'digital', 'health', 'bdi', 'denpasar', 'business', 'incubator',  'business', 'talk', 'tema', '', 'e', 'plore', 'business', 'idea', 'insight', 'in', 'digital', 'health', 'industry', '', 'hadir', 'narasumber', '', 'nova', 'ariyanto', 'jono', '', 'co', 'founder', 'ceo', 'psikologi', '', 'made', 'dwi', 'putra', 'wijaya', '', 'koordinator', 'bdi', 'denpasar', 'business', 'incubator', 'giat', 'narasumber', 'sharing', 'knowledge', 'inspirasi', 'proses', 'bisnis', '', 'bisnis', 'akhir', 'giat', 'serta', 'bicara', 'giat', 'workshop', 'laksana', 'tanggal', 'jumat', 'februari', '', 'live', 'on', 'zoom', 'meeting', 'tunggu', 'ayo', 'gabung', 'daftar', 'link']"
Kabar Insan Oke ,"['operasional', 'industri', 'jalan', 'patuh', 'protokol', 'sehat', 'kemenperin', 'gandeng', 'perintah', 'daerah', 'aparat', 'perintah', 'industri', 'patuh', 'menperin', 'no', 'risau', 'pantau', 'pungut', 'biaya']"
pengumuman,"['sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'spektrumedia', 'studio', 'makassar',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'sembilan', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'januari', 'februari', 'tempat', 'universitas', 'muslim', 'indonesia', 'umi', 'makassar', 'sulawesi', 'selatandiklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
pengumuman,"['sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Inbis Tohpati,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'sempat', 'terima', 'kunjung', 'dewan', 'komisaris', 'pt', 'telkom', 'indonesia', 'kunjung', 'kali', 'dewan', 'komisaris', 'telkom', 'marcelino', 'pandin', 'serta', 'gm', 'witel', 'denpasar', 'serta', 'jajar', 'sambut', 'kepala', 'bdi', 'denpasar', 'zya', 'labiba', 'serta', 'tim', 'inkubasi', 'bisnis', 'tohpati', 'kunjung', 'laksana', 'rangka', 'tinjau', 'kembang', 'kerjasama', 'telkom', 'bdi', 'denpasar', 'indigospace', 'denpasar', 'harap', 'kunjung', 'sinergitas', 'bdi', 'denpasar', 'indigospace', 'denpasar', 'tingkat', 'depan']"
Agenda,"['pre', 'conference', 'indonesia', 'partner', 'country', 'jumat', 'april', '', 'wib', 'via', 'live', 'stream', 'youtube', 'menteri', 'industri', 'ri']"
Inbis Tohpati,"['tohpati', 'talent', 'camp', 'umum', 'serta', 'kelas', 'uiu', 'design', 'selamat', 'serta', 'pilih', 'tohpati', 'talent', 'camp', 'kelas', 'uiu', 'design', 'lolos', 'kecil', 'hati']"
pengumuman,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'pt', 'spektrumedia', 'animation', 'studio', 'provinsi', 'sulawesi', 'selatan',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'januari', 'februari', 'tempat', 'kampus', 'fikom', 'universitas', 'muslim', 'indonesia', 'umi', 'kota', 'makassar', 'sulawesi', 'selatan', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob']"
pengumuman,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'jaja', 'kerjasama', 'asosiasi', 'internet', 'of', 'things', 'indonesia', 'asioti', 'jakarta', 'kunjung', 'asioti', 'bdi', 'denpasar', 'wakil', 'i', 'made', 'artana', 'tim', 'sambut', 'ketua', 'asioti', 'teguh', 'prasetya', 'sekretaris', 'jenderal', 'asioti', 'fita', 'indah', 'maulani', 'kepala', 'bidang', 'perangkat', 'sensor', 'asioti', 'guruh', 'ariyanto']"
pengumuman,"['selamat', 'imlek', 'moga', 'penuh', 'bahagia', 'makmur', 'untung']"
Diklat 3 in 1,"['diklat', 'buat', 'gerak', 'animasi', 'dimensi', 'angkat', 'v', 'on', 'site', 'jitu', 'kreasi', 'utama', 'yogyakarta', 'sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'pt', 'jitu', 'kreasi', 'utama', 'kota', 'yogyakarta',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'februari', 'maret', 'tempat', 'smsr', 'yogyakarta', 'smkn', 'kasihan', 'bantul', 'bantul', 'provinsi', 'daerah', 'istimewa', 'yogyakarta', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'sunting', 'film', 'animasi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Kabar Insan Oke ,"['balai', 'diklat', 'industri', 'denpasar', 'bulan', 'pilih', 'aparatur', 'hak', 'predikat', '', 'employee', 'of', 'the', 'month', '', 'kriteria', 'pilih', 'aspek', 'disiplin', 'patuh', 'tanggung', 'integritas', 'milik', 'aparatur', 'desember', 'predikat', '', 'employee', 'of', 'the', 'month', 'bdi', 'denpasar', 'desember', '', 'gede', 'anggria', 'moga', 'motivasi', 'tingkat', 'hasil', 'karya', 'maju', 'bdi', 'denpasar', 'industri', 'animasi', 'indonesia']"
Diklat 3 in 1,"['open', 'recruitment', 'diklat', 'in', 'padang', 'padang', 'bdi', 'denpasar', 'sobat', 'kreatif', 'tunggu', 'buka', 'diklat', 'in', 'animasi', 'padang', 'padang', 'denpasar', 'simak', 'postingan', 'sobat', 'kreatif', 'tarik', 'join', 'daftar', 'link', 'mimin', 'cantumin', 'detail', 'syarat', 'syarat', 'daftar', 'diklat', 'sobat', 'minat', 'jumpa', 'padang', 'padang', 'denpasar', 'sobat', 'kreatif']"
Kabar Insan Oke ,"['kabar', 'gembira', 'hujung', 'kerja', 'keras', 'komitmen', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'hasil', 'harga', 'wilayah', 'bebas', 'korupsi', 'wbk', 'menteri', 'pendayagunaan', 'aparatur', 'negara', 'reformasi', 'birokrasi', 'reformasi', 'birokrasi', 'kemenpan', 'rb', 'bangga', 'bdi', 'denpasar', 'apresiasi', 'tambah', 'semangat', 'elemen', 'bdi', 'denpasar', 'tingkat', 'inovasi', 'layan', 'prima', 'masyarakat', 'selamat', 'bdi', 'denpasar', 'making', 'change', 'making', 'history', 'totalitas', 'batas', 'layan', 'hati']"
Kabar Insan Oke ,"['tanggal', 'oktober', 'ingat', 'batik', 'nasional', 'bangsa', 'indonesia', 'batik', 'salah', 'waris', 'budaya', 'khas', 'indonesia', 'aku', 'united', 'nations', 'educational', 'scientific', 'and', 'cultural', 'organization', 'unesco', 'waris', 'manusia', 'budaya', 'lisan', 'non', 'bendawi', 'motif', 'batik', 'indonesia', 'milik', 'makna', 'agam', 'filosofis']"
Kabar Insan Oke ,"['sobat', 'kreatif', 'diklat', 'in', 'buka', 'daftar', 'link', 'cantum', 'detail', 'syarat', 'syarat', 'daftar', 'diklat', 'sobat', 'kreatif', 'minat', 'jumpa', 'diklat', 'in']"
pengumuman,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'pt', 'jitu', 'kreasi', 'utama', 'kota', 'yogyakarta',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'februari', 'maret', 'tempat', 'smsr', 'yogyakarta', 'smkn', 'kasihan', 'bantul', 'bantul', 'provinsi', 'daerah', 'istimewa', 'yogyakarta', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'sunting', 'film', 'animasi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Kabar Insan Oke ,"['pandemi', 'covid', 'sebab', 'industri', 'dunia', 'alami', 'lambat', 'tumbuh', 'akibat', 'ganggu', 'aktivitas', 'ekonomi', 'global', 'industri', 'isu', 'bahas', 'kelompok', 'kerja', 'kemendag', 'bkpmid', 'trade', 'investment', 'and', 'industry', 'working', 'group', 'tiiwg', 'salah', 'temu', 'forum', 'g', 'indonesia', 'presidensi', 'g', 'manfaat', 'momen', 'ajak', 'anggota', 'g', 'kolaborasi', 'atas', 'tantang', 'akibat', 'pandemi', 'rumus', 'strategi', 'capai', 'industrialisasi', 'inklusif', 'lanjut', 'cipta', 'ekonomi', 'kuat', 'tangguh', 'hadap', 'krisis', 'kemenperin', 'tuan', 'rumah', 'temu', 'tiiwg', 'tanggal', '', 'maret', 'solo', 'jawa', 'salah', 'bahas', 'tiiwgsolo', 'terap', 'industri', 'dorong', 'cepat', 'transformasi', 'digital', 'inovasi', 'sektor', 'industri', 'tingkat', 'nilai', 'produktivitas', 'efisiensi', 'industri', 'fakta', 'tarik', 'sektor', 'industri', 'presidensi', 'g', 'indonesia', 'geser', 'kiri', 'informasi', 'lengkap',  'sobat']"
pengumuman,"['sobat', 'kreatif', 'tunggu', 'buka', 'diklat', 'in', 'animasi', 'bogor', 'semarang', 'sukoharjo', 'simak', 'postingan']"
pengumuman,"['sobat', 'kreatif', 'tunggu', 'buka', 'diklat', 'in', 'animasi', 'padang', 'padang', 'denpasar', 'simak', 'postingan']"
Agenda,"['kemarin', 'mimin', 'workshop', 'balai', 'diklat', 'industri', 'denpasar', 'mimin', 'kasih', 'info', 'workshop', '', 'sign', 'board', 'laser', 'cut', '', 'buka', 'workshop', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'november', 'tempat', 'bikin', 'makerspace', 'bdi', 'denpasar', 'workshop', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'digital',  'buru', 'daftar', 'gratis', 'batas', 'serta']"
Inbis Tohpati,"['giat', 'kembang', 'produktivitas', 'pegawai', 'bdi', 'denpasar', 'changing', 'mindset', 'enhancing', 'productivity', 'kamis', 'sd', 'jumat', 'tanggal', '', 'oktober', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'selenggara', 'giat', 'kembang', 'produktivitas', 'pegawai', 'tema', '', 'changing', 'mindset', 'enhancing', 'productivity', '', 'pegawai', 'ajar', 'hadap', 'khawatir', 'takut', 'lebih', 'berani', 'coba', 'tantang', 'moga', 'ikut', 'training', 'pegawai', 'bdi', 'denpasar', 'segar', 'fikiran', 'jasmani', 'lelah', 'motivasi', 'turun', 'produktivitas', 'jaga']"
Inbis Tohpati,"['umum', 'serta', 'kelas', 'smartphone', 'videography', 'selamat', 'serta', 'tohpati', 'talent', 'camp', 'kelas', 'smartphone', 'videography', 'lolos', 'kecil', 'hati']"
Diklat 3 in 1,"['dorong', 'bangun', 'zona', 'integritas', 'irjen', 'kemenperin', 'kunjung', 'bdi', 'denpasar', 'menteri', 'industri', 'komitmen', 'kuat', 'wujud', 'sistem', 'birokrasi', 'transparan', 'akuntabilitas', 'bebas', 'praktek', 'korupsi', 'kolusi', 'nepotisme', 'kkn', 'salah', 'langkah', 'wujud', 'upaya', 'dorong', 'bangun', 'zona', 'integritas', 'wilayah', 'bebas', 'korupsi', 'wbk', 'wilayah', 'birokrasi', 'bersih', 'layan', 'wbbm', 'satu', 'kerja', 'satker', 'inspektur', 'jenderal', 'menteri', 'industri', 'masrokhan', 'kunjung', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'jl', 'wr', 'supratman', 'no', 'kesiman', 'kertalangu', 'denpasar', 'rabu', 'kunjung', 'rangka', 'bina', 'awal', 'bangun', 'zona', 'integritas', 'satu', 'kerja', 'kemenperin', 'bal', 'kemenperin', 'jalan', 'rangkai', 'langkah', 'strategis', 'bangun', 'zona', 'integritas', 'wujud', 'ubah', 'good', 'and', 'clean', 'governance', 'kemenperin', 'usul', 'kemenpan', 'rb', 'satu', 'kerja', 'oleh', 'predikat', 'wbbm', 'satu', 'kerja', 'predikat', 'wbk', 'bdi', 'denpasar', '', 'sesuai', 'arah', 'menteri', 'industri', 'agus', 'gumiwang', 'kartasasmita', 'tekan', 'komitmen', 'baik', 'jajar', 'birokrasi', 'bersih', 'produktif', 'akuntabel', '', 'kunjung', 'masrokhan', 'bdi', 'denpasar', 'representatif', 'kemenperin', 'wilayah', 'bal', 'tingkat', 'kerja', 'komitmen', 'inovasi', 'kolaborasi', '', 'bdi', 'denpasar', 'tingkat', 'inovasi', 'inovasi', 'layan', 'publik', 'hadir', 'nilai', 'luas', 'masyarakat', '', 'pesan', 'masrokhan', 'masrokhan', 'apresiasi', 'capai', 'bdi', 'denpasar', 'hasil', 'komitmen', 'sungguh', 'implementasi', 'bangun', 'zona', 'integritas', 'wujud', 'nyata', 'lapang', 'raih', 'predikat', 'wbk', '', 'optimis', 'bdi', 'denpasar', 'tingkat', 'inovasi', 'inovasi', 'layan', 'publik', 'bdi', 'denpasar', 'raih', 'predikat', 'wbbm', 'depan', 'hasil', 'janji', 'dukung', 'aparatur', 'sipil', 'negara', 'asn', 'usia', 'muda', 'kreatif', '', 'arah', 'irjen', 'kemenperin', 'lanjut', 'penandatanganan', 'komitmen', 'bangun', 'zona', 'integritas', 'wbbm', 'wilayah', 'bdi', 'denpasar', 'kunjung', 'fasilitas', 'layan', 'bdi', 'denpasar']"
pengumuman,"['merdeka', 'giveaway', 'kali', 'balai', 'diklat', 'industri', 'denpasar', 'kolaborasi', 'inbo', 'indonesia', 'semarak', 'raya', 'hut', 'ri', 'menang', 'total', 'hadiah', 'tarik', 'headphone', 'selfie', 'stick', 'orang', 'untung', 'inbo', 'indonesia']"
pengumuman,"['sobat', 'kreatif', 'kali', 'diklat', 'in', 'buka', 'tegal', 'yogyakarta', 'makassar', 'sobat', 'kreatif', 'tarik', 'join', 'daftar', 'link', 'cantum', 'detail', 'syarat', 'syarat', 'daftar', 'diklat', 'sobat', 'minat']"
Bikin Maker Space,"['menteri', 'industri', 'komitmen', 'kuat', 'wujud', 'sistem', 'birokrasi', 'transparan', 'akuntabilitas', 'bebas', 'praktek', 'korupsi', 'kolusi', 'nepotisme', 'kkn', 'salah', 'langkah', 'wujud', 'upaya', 'dorong', 'bangun', 'zona', 'integritas', 'wilayah', 'bebas', 'korupsi', 'wbk', 'wilayah', 'birokrasi', 'bersih', 'layan', 'wbbm', 'satu', 'kerja', 'satker', 'kepala', 'bdi', 'denpasar', 'zya', 'labiba', 'komitmen', 'wujud', 'zona', 'integritas', 'wbbm', 'upaya', 'guna', 'integrated', 'barcode', 'system', 'layan', 'diklat', 'layan', 'adu', 'lapor', 'gratifikasi', 'online', 'layan', 'bikin', 'makerspace', 'wadah', 'maker', 'kriya', 'karya', 'kolaborasi', 'layan', 'lembaga', 'sertifikasi', 'profesi', 'lsp', 'bdi', 'denpasar', 'bidang', 'animasi', 'inkubator', 'bisnis', 'inbis', 'tohpati', 'rujuk', 'instansi', '', 'dukung', 'pegawai', 'kembang', 'inovasi', 'inovasi', 'tingkat', 'layan', 'publik', 'bdi', 'denpasar', '', 'sempat', 'zya', 'labiba', 'bdi', 'denpasar', 'jajak', 'kerjasama', 'apple', 'academy', 'dukung', 'kembang', 'program', 'latih', 'bidang', 'kembang', 'aplikasi', 'ios', 'milik', 'pangsa', 'pasar', 'luas', 'tanah', 'air']"
Bikin Maker Space,"['suka', 'duka', 'lalu', 'jalan', 'bentuk', 'syukur', 'kuat', 'doa', 'harap', 'panjat', 'rapat', 'jaga', 'sehat', 'semangat', 'isi', 'lembar', 'lembar', 'sobat', 'kreatif']"
pengumuman,"['antikorupsi', 'dunia', 'ingat', 'ambil', 'tema', '', 'padu', 'bangun', 'budaya', 'antikorupsi', '', 'bangun', 'bangsa', 'indonesia', 'bersih', 'mari', 'elemen', 'masyarakat', 'satu', 'padu', 'budaya', 'sikap', 'anti', 'korupsi']"
Kabar Insan Oke ,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'bulan', 'pilih', 'aparatur', 'hak', 'predikat', '', 'employee', 'of', 'the', 'month', '', 'kriteria', 'pilih', 'aspek', 'disiplin', 'patuh', 'tanggung', 'integritas', 'milik', 'aparatur', 'agustus', 'predikat', '', 'employee', 'of', 'the', 'month', 'bdi', 'denpasar', 'agustus', '', 'mayda', 'dian', 'star', 'wicaksono', 'moga', 'motivasi', 'tingkat', 'hasil', 'karya', 'maju', 'bdi', 'denpasar', 'industri', 'animasi', 'indonesia']"
Inbis Tohpati,"['workshop', 'series', 'uiu', 'rangka', 'the', 'road', 'to', 'bal', 'startup', 'summit', 'selenggara', 'workshop', 'series', 'uiu', 'tanggal', 'november', 'wita', 'bdi', 'denpasar', 'passion', 'dunia', 'digital', 'daftar', 'gratis', 'batas', 'serta', 'langsung', 'daftar', 'giat', 'kolaborasi', 'stmikprimakara', 'iccnmedia']"
Teaching Factory,"['selamat', 'bdi', 'denpasar', 'raih', 'harga', 'wbk', 'kabar', 'gembira', 'hujung', 'kerja', 'keras', 'komitmen', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'hasil', 'harga', 'wilayah', 'bebas', 'korupsi', 'wbk', 'menteri', 'pendayagunaan', 'aparatur', 'negara', 'reformasi', 'birokrasi', 'reformasi', 'birokrasi', 'kemenpan', 'rb', 'selamat', 'bdi', 'denpasar', 'making', 'change', 'making', 'history', 'totalitas', 'batas', 'layan', 'hati']"
Diklat 3 in 1,"['umum', 'serta', 'diklat', 'in', 'selamat', 'serta', 'diklat', 'lolos', 'seleksi', 'serta', 'lolos', 'sedih', 'ikut']"
Bikin Maker Space,"['sobat', 'kreatif', 'kemarin', 'mimin', 'workshop', 'balai', 'diklat', 'industri', 'denpasar', 'mimin', 'kasih', 'info', 'workshop', '', 'sign', 'board', 'laser', 'cut', '', 'buka', 'workshop', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'november', 'tempat', 'bikin', 'makerspace', 'bdi', 'denpasar', 'workshop', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'digital',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'workshop', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Kabar Insan Oke ,"['jumat', 'kepala', 'balai', 'diklat', 'industri', 'denpasar', 'zya', 'labiba', 'serah', 'piagam', 'tanda', 'hormat', 'satyalancana', 'karya', 'satya', 'pegawai', 'negeri', 'sipil', 'bdi', 'denpasar', 'kepala', 'subbagian', 'tata', 'usaha', 'sry', 'rahayu', 'febriani', 'jabat', 'fungsional', 'analis', 'pegawai', 'dewi', 'mundi', 'utami', 'satyalancana', 'karya', 'satya', 'tanda', 'hormat', 'perintah', 'republik', 'indonesia', 'pns', 'abdi', 'setia', 'abdi', 'cakap', 'jujur', 'disiplin', 'selamat', 'sry', 'rahayu', 'febriani', 'dewi', 'mundi', 'utami', 'beri', 'tanda', 'hormat', 'satyalancana', 'karya', 'satya', 'moga', 'teladan', 'semangat', 'karya']"
Kabar Insan Oke ,"['sobat', 'kreatif', 'tunggu', 'buka', 'diklat', 'in', 'animasi', 'cimahi', 'yogyakarta', 'jakarta', 'simak', 'postingan', 'sobat', 'kreatif', 'tarik', 'join', 'daftar', 'link', 'mimin', 'cantumin', 'detail', 'syarat', 'syarat', 'daftar', 'diklat', 'sobat', 'minat', 'jumpa', 'cimahi', 'yogyakarta', 'jakarta', 'sobat', 'kreatif']"
pengumuman,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'semarang', 'creative', 'content', 'seccon', 'provinsi', 'jawa',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'februari', 'tempat', 'smk', 'muhammadiyah', 'semarang', 'kota', 'semarang', 'jawa', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Diklat 3 in 1,"['diklat', 'buat', 'gerak', 'animasi', 'dimensi', 'angkat', 'iii', 'on', 'site', 'ssr', 'bogor', 'sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'pt', 'solusi', 'semesta', 'rekakreasi', 'provinsi', 'jawa', 'barat',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'puluh', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'februari', 'maret', 'tempat', 'kampus', 'politeknik', 'ssr', 'kab', 'bogor', 'jawa', 'barat', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'animasi', 'dimensi',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Kabar Insan Oke ,"['selamat', 'pers', 'nasional', 'februari', 'insan', 'pers', 'tanah', 'air', 'terimakasih', 'insan', 'pers', 'sebar', 'informasi', 'moga', 'sehat', 'produktif', 'berita', 'bangun', 'selamat', 'pers', 'nasional']"
Kabar Insan Oke ,"['sobat', 'kreatif', 'kenal', 'rans', 'si',  'hehe', 'rans', 'animation', 'studio', 'studio', 'animasi', 'diri', 'rans', 'entertainment', 'milik', 'raffi', 'ahmad', 'maret', 'kota', 'semarang', 'jawa', 'rans', 'animation', 'studio', 'rumah', 'produksi', 'film', 'animasi', 'milik', 'rans', 'entertainment', 'hasil', 'film', 'judul', 'si',  'tayang', 'stasiun', 'tv', 'swasta', 'tim', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'sempat', 'kunjung', 'rans', 'animation', 'studio', 'tempat', 'semarang', 'bahas', 'kerjasama', 'kerjasama', 'harap', 'kunjung', 'bdi', 'denpasar', 'rans', 'animation', 'studio', 'buka', 'peluang', 'kerjasama', 'kerjasama', 'depan']"
Diklat 3 in 1,"['kepala', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'zya', 'labiba', 'tutup', 'giat', 'diklat', 'in', 'aset', 'dimensi', 'angkat', 'iv', 'kota', 'pontianak', 'giat', 'diklat', 'laksana', 'tanggal', 'juli', 'sd', 'agustus', 'ikut', 'orang', 'serta', 'bekerjasama', 'spektrumedia', 'engan', 'diklat', 'serta', 'tingkat', 'mampu', 'bidang', 'buat', 'aset', 'dimensi']"
Agenda,"['sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'dinas', 'industri', 'tenaga', 'kerja', 'kabupaten', 'klungkung', 'provinsi', 'bal',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'enam', 'latih', 'tanggal', 'november', 'desember', 'tempat', 'balai', 'diklat', 'industri', 'denpasar', 'denpasar', 'timur', 'bal', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'sosial', 'media', 'marketing',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Agenda,"['sobat', 'kreatif', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'baraka', 'creative', 'studio', 'sumatera', 'barat',  'diklat', 'in', 'diklat', 'rencana', 'selenggara', 'offline', 'tatap', 'muka', 'sembilan', 'belas', 'latih', 'giat', 'uji', 'kompetensi', 'diklat', 'in', 'tanggal', 'februari', 'tempat', 'universitas', 'negeri', 'padang', 'unp', 'kota', 'padang', 'sumatera', 'barat', 'diklat', 'in', 'gratis', 'kuota', 'batas', 'sob', 'sobat', 'sobat', 'passion', 'dunia', 'desain', 'grafis',  'buru', 'daftar', 'gratis', 'batas', 'serta', 'diklat', 'in', 'sifat', 'gratis', 'kuota', 'serta', 'batas', 'ayo', 'daftar']"
Agenda,"['ubah', 'passion', 'mu', 'bisnis', 'webinar', 'tanggal', 'selasa', 'april', 'jam', '', 'wita', 'lokasi', 'via', 'zoom', 'clouds', 'meeting']"
Inbis Tohpati,"['selamat', 'pers', 'nasional', 'februari', 'terimakasih', 'insan', 'pers', 'sebar', 'informasi', 'moga', 'sehat', 'produktif', 'berita', 'bangun', 'selamat', 'pers', 'nasional']"
Diklat 3 in 1,"['balai', 'diklat', 'industri', 'bdi', 'denpasar', 'buka', 'daftar', 'batch', 'diklat', 'in', 'buat', 'gerak', 'animasi', 'dimensi', 'angkat', 'ii', 'on', 'site', 'mocca', 'tanggal', '', 'november', 'junior', 'web', 'programmer', 'angkat', 'iii', 'rangka', 'tanggal', '', 'november', 'minat', 'langsung', 'daftar', 'link', 'daftar']"
Bikin Maker Space,"['luk', 'media', 'kanvas', 'jadi', 'hias', 'dinding', 'variasi', 'media', 'lho', 'sob', 'media', 'kain', 'apparel', 'jaket', 'denim', 'topi', 'masker', 'media', 'fashion', 'tampil', 'keren', 'gaya', 'personal', 'eksklusif', 'gambar', 'lukis', 'hasil', 'karya', 'kamis', 'sd', 'jumat', 'oktober', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'bikin', 'makerspace', 'selenggara', 'workshop', 'luk', 'media', 'kain', 'apparel', 'ajar', 'luk', 'media', 'jaket', 'topi', 'masker', 'serta', 'ajar', 'fotografi', 'produk', 'teknik', 'marketing', 'sosial', 'media']"
pengumuman,"['rangka', 'ikut', 'kembang', 'teknologi', 'tinggal', 'zaman', 'organisasi', 'harap', 'adaptasi', 'ubah', 'ubah', 'cepat', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'selenggara', 'employee', 'innovation', 'challenge', 'untuk', 'gali', 'inovasi', 'inovasi', 'ide', 'ide', 'fresh', 'pegawai', 'juara', 'challenge']"
